Taxa	NEEN.011	NEEN.012	NEEN.013	NEEN.014	NEEN.015	NEEN.016	NEEN.021	NEEN.022	NEEN.023	NEEN.024	NEEN.025	NEEN.026
3af64985583451cceeb3901d043bfd73	0	19	0	0	0	0	0	0	0	0	0	0
a57944ffff8ec2097b06e45a616f907d	0	0	0	0	0	0	0	0	0	0	0	0
a69c0a328e1b282389062478c5d49c3a	68	82	96	45	27	24	27	45	34	17	9	6
7d02f99e2ea00512b055a4e70f84c18b	111	64	29	40	768	513	260	66	25	21	14	15
54a43d2113c13203e813d22b17f3f370	47	55	50	25	33	56	84	29	16	18	16	22
e127450ed2ad1088a651c6a3f8a405b3	0	5	0	3	0	0	0	0	0	0	6	0
b2ce7f937c4d1e391758282974fcf514	0	0	0	10	11	22	7	16	13	48	82	83
59058f537de50f2f55ed8833c3c1f4b5	85	143	163	84	30	23	38	46	34	22	10	17
7a6a394fe7285b50ee54b56f316a3944	0	0	0	0	0	0	0	0	0	0	0	0
4feb426703234389503a7b994773d50c	111	111	115	94	37	59	38	36	58	20	20	20
5328bc3fa40912ff2a09f9a53ac20c93	102	133	128	93	60	88	33	55	45	13	12	8
ce0c98486c0934c2f5922589f4883a46	8	17	14	6	16	38	15	15	0	7	0	9
d27a7938be9be7fcde444b0d8a1e7f84	629	348	409	157	50	49	94	105	144	41	52	43
9a13cbb8e1b12468bf22d6a05aafb0c0	87	0	0	0	74	40	121	114	78	0	53	75
eb1d7f519ae360e6e68a2f1520785e5e	5	7	0	0	11	10	5	11	3	0	0	0
0c10bc475287f99f197cfc1c2b50947f	11	0	0	0	26	21	0	0	17	0	25	0
84135a0b2ffd4bf0902d223d4ee001dc	0	0	19	13	0	0	18	14	0	0	0	23
b4c887fb290f7d9862494dc4ca31dafb	0	0	0	0	0	0	0	0	0	0	0	0
bf7348b2028d96bee8686238f2bc5aa2	24	51	16	38	45	84	23	28	51	0	21	16
a6bfdb3176b2fc52c2e55ef46213f792	85	103	72	10	33	59	61	62	27	7	14	10
175fd341f343662e9f8d8ec2f6877ec0	0	0	0	0	0	0	0	0	0	0	0	0
6d1f1d8b1147f3c7f26586646547b4d5	0	0	0	0	0	0	0	0	0	0	0	0
e4ef1c7b616eb842c0ff7a327e83bd76	16	25	77	48	38	41	19	37	168	131	155	214
fdbff060c0adc3184b21540df9bbbee1	0	0	0	0	0	0	0	0	0	0	0	0
b79395edd65d1a3436028915e53b329f	0	0	0	0	0	0	0	0	5	0	0	0
5292f29cab69c370997bcb039ef68d64	425	520	832	468	144	186	224	224	134	90	79	141
f6b9f4774df15b2fdd3ba4af8805ff44	173	471	1103	397	100	95	80	96	204	55	0	0
938fbbe51af86d1d7ebd6817a0f0bd24	70	99	95	77	482	238	45	66	56	0	0	0
851c7990fae0a661eacab06f0e5e2775	55	67	70	51	306	213	37	0	40	0	0	0
efa934e07029e49f4b1959b33c677589	104	211	212	125	103	79	45	33	61	0	20	42
bf611493002f5918a68778bde2def567	33	0	0	0	53	106	42	92	0	0	0	0
836cd5ea357ad392c00a7e48d921be1d	11	9	25	28	21	0	26	46	45	55	21	73
9a76c2c2904fcae623e236b6818a712e	21	16	0	0	29	28	17	0	22	5	0	0
878fc53ff6f6333a92673b700951fa1b	0	0	9	13	0	0	0	21	0	0	0	0
6adfe2eb17f78d90fae7d4d8eb43b01a	0	0	0	0	0	6	0	0	0	0	0	0
ed78bbc1db0ff176088ec1eeb30cde95	103	111	149	79	140	116	208	127	73	67	80	70
a0814dbcfc36b32aa80e5af6bca83748	46	63	139	29	10	19	63	59	110	9	0	0
c5debdac45aa28561acf34927c6e726d	0	0	0	0	0	0	0	0	0	0	0	0
72e530a4206f2e4804d502f4dfca8387	124	161	177	142	254	189	806	382	838	1019	988	1037
97fbd9fac072dc24ef7af2e143df17a1	0	0	0	0	61	0	0	0	0	0	0	0
1dde417c45171347b0ec07088aa49839	128	119	204	173	2099	1675	949	1472	1915	2884	1915	1930
91c6bd1773aaec302882b43aff6babc4	913	653	1262	692	736	632	366	506	622	978	653	554
53e1e28ac0e3549da38b9e58b4a27f3b	0	0	0	0	0	0	0	0	0	0	0	0
7d778ad679a7e22769f032c56e881c28	0	10	0	0	18	21	0	22	0	4	0	0
b9601452981d5393bd6c0ed100a35ff0	0	0	0	0	0	0	0	0	38	0	0	0
2eb2fe0471e37d54b5e1c47660220ad6	83	88	111	65	336	86	495	357	67	59	76	65
550dad848590f36ce1e9a8ce81c12f8a	42	79	25	0	168	42	237	186	23	27	48	46
11bd305099dce16ecd99f2cb50aa2e40	0	0	0	0	154	37	241	156	0	0	0	0
b00c3432b2ba4ccb41e22cbf1f9e336d	212	238	312	153	258	193	406	338	838	740	857	1004
35fbbf467028ce4e6d97fd309461f30b	0	0	0	0	0	0	0	0	167	117	199	209
610fec3c1f64661f446a6e8270f23d0c	0	0	0	0	0	0	82	0	0	0	0	0
33ea9f7df7a02a6f06fb9700ed440401	226	223	337	199	163	189	109	129	234	115	147	248
e7ad4c0767b33e0a46ee82dba4ad02f0	0	0	0	0	0	28	0	47	0	0	0	0
de689038d335b0e895f90f08f59c3ab1	39	21	21	0	36	52	53	0	65	69	66	62
19bb6fdfb210eda549aee95a652e0fdf	0	0	0	16	0	0	0	0	110	47	54	59
d3d0b6aba6f97f1ba77a412531587a84	32	35	66	31	70	54	57	52	26	15	10	14
d60593a75368eb2dd66ecbbec3313863	69	144	0	0	0	0	270	21	50	20	12	0
cb8b8a6ee6bcfa115f8b24a45fa1c12a	56	91	71	171	286	720	1602	1428	232	253	336	264
e1f3dca7a444e322745b21064cf6fbd2	121	178	228	76	235	79	158	116	50	46	46	39
c6cc193827dee5c035291d0d1d14b625	0	0	0	0	0	0	0	0	0	0	0	0
917d299eeca539b3dfba563baabc4b14	0	0	0	0	0	0	0	0	0	0	0	0
029ac1f87abeae7dbac1ababc489cfec	0	0	0	0	5	0	0	0	0	0	0	0
9b5811da3588dc72c1fce3ea07d51eac	0	0	0	0	17	0	0	0	12	0	0	0
2bc5942b5fd0f8140d1eaf96be69ff40	7	0	9	0	58	35	16	37	11	0	13	10
b44aff2995f396f00ad579d8e6684335	110	111	84	88	609	890	615	574	422	534	530	738
1930d2ae4018583d606e705beea31bd1	35	61	89	72	134	120	38	88	393	479	670	950
8d16493f61b4859028a7a760a82751ce	0	0	0	0	0	0	0	0	31	0	0	0
0d29a1eb24f264423251f3b2a92f7914	0	0	0	0	0	0	0	0	0	0	0	0
0ebb2cf4a2017aeaefadf9ae5062eb62	171	198	249	121	246	128	111	204	37	28	30	50
39f1b510d3d0f5a6d28609e5a26641a9	0	0	20	26	8	7	12	9	0	4	0	7
3471f88cb44a7a8c95f6c7fe00ec8261	0	0	0	0	0	0	0	0	12	0	0	0
5858157a5f3c4bdbc235927eae7ff303	69	114	127	105	105	184	104	91	81	81	108	108
129500150cad877075ed12b0c9424282	63	86	61	35	239	311	181	308	151	121	148	288
76b219eb7351347070ab7205275b9c02	0	0	0	0	46	0	52	0	0	20	0	27
c130ff4bc4f4b06b3e42f5c64b6ee6a0	61	79	95	49	0	0	0	43	34	0	0	0
a11124bead20d177c53e9a515457c0c0	0	0	0	0	0	0	0	0	0	0	24	0
82b6b13c800633859b139cf0569b4cda	777	649	1191	529	1779	2119	755	1306	2298	2266	2011	3445
cb1abf418422e26cfb437c2a36fa1ee9	37	37	21	30	310	196	73	81	38	30	39	22
62ae243ee000954dd16cbb9f968a1789	0	21	27	0	0	0	0	0	0	0	0	0
1b7d75fb86963bedb10092b550a0899f	48	59	53	64	80	68	24	17	0	0	0	0
759456dbbcad59cfb49ade008456f99e	0	34	36	0	137	110	0	0	37	32	22	0
b73e739891aeccb388d0808116068184	22	22	24	12	28	41	0	0	0	0	0	0
16f3c9bbbc6096b7f5526bd82bb86d62	45	58	70	0	0	0	0	0	0	0	0	0
00edbd1ba8dcda99fa8c48ebbad76bc3	0	31	0	0	0	0	0	0	0	0	0	0
e4597f1dce864c29882fa64f616d1a6c	155	169	310	147	120	131	91	120	95	101	92	167
234166274fbb22e38900a26eb84ece58	0	0	0	0	0	0	0	0	0	0	0	0
daae43be6cf06991f62a085ba8bff3b6	561	480	906	386	751	682	292	288	202	166	72	73
fb4f0a79b97d6f24e3040e8145b0a6e7	0	0	0	0	158	209	0	0	0	0	0	0
ea9c1edfdf60a0a532f516b20689e41b	21	31	14	0	91	117	57	97	21	8	29	26
02408cd609a6b7f8134da2f8955136ac	7	5	0	0	37	63	16	20	8	4	0	0
1eb2548c06727d3c1745e7db394cfd56	199	246	161	156	512	508	432	419	118	129	180	143
2ae97aa780e74cb712a0ae2b285ff415	70	92	44	65	223	201	140	167	91	91	161	135
350fb0a153502ce2dd4fa0cf051d3fbb	37	52	46	25	43	47	38	27	22	16	13	11
f80166d86a7f15b69b6ac97505299c3a	0	0	0	0	0	109	132	145	100	0	0	0
f66d2abe845ef2bc384cc7e2eccd5e24	62	56	0	0	72	152	0	0	0	0	44	50
b626779bd5dfa945ddc31fd5e5070a19	117	134	130	92	292	557	103	126	48	70	134	115
37079b17a5ed7c396c357e24c0cf0597	86	124	90	24	96	203	28	51	0	0	81	97
c1def48b42e159b33dd366fb124ea638	54	48	49	50	145	110	108	152	53	19	36	18
f74772c312ecf2f0278c402953e04d93	0	0	0	0	0	0	0	0	0	0	25	0
19bf483357dc32a16002bf4e21221b48	46	37	20	16	346	290	51	41	18	18	0	0
d7c1b52a8e5ee6f743bc37a531bf6f55	0	0	0	0	0	0	0	0	0	0	0	0
f93bef19c624876fb0132f2e6b583ca7	0	0	0	0	0	0	0	0	0	0	0	0
a13fea4a53c585211593a5587a5801ee	0	0	0	0	0	0	0	0	0	0	0	0
4e9a0c10a4238f6fadd0da0100016dcd	0	0	0	0	0	0	0	0	0	0	0	0
90efbf79b027835779101fc55504e842	0	0	0	0	0	0	0	0	18	0	0	0
943604f71971b419a2367b530186303f	0	0	0	0	0	0	0	21	0	16	0	7
81d3a6950559d5543eb39e4f5b310a31	0	0	0	0	0	0	0	0	0	0	0	0
410cd9c6d9dc6fd1871accf2172f8e29	0	0	0	0	0	0	0	0	0	0	0	0
c601986784ec5352196d3bc7278277b5	0	0	0	0	0	0	0	0	0	0	0	4
9e090db3b7d4ded637a456829a8d227d	0	0	0	0	0	0	0	0	0	0	0	0
b7ed133c0e997839decebae543619e8b	0	0	0	0	0	0	0	0	0	0	27	2
ce72009c0c36b5ff547b9a0c89f669ce	0	0	0	0	0	0	3	0	0	0	0	0
607a1bcc4baccac25c567bbb74d81cdf	0	0	0	0	0	0	0	0	0	0	7	0
35f3ce6a0ee2829e6ccb193be3c4338b	0	0	2	0	0	0	0	0	3	0	0	0
7301b4591a50ce57f108dc1db684fd70	0	0	0	0	0	0	0	0	0	0	0	0
a4ff7d5665199a661ed3c3f0ebf06a49	0	0	0	0	0	0	0	0	0	0	0	0
85781f76fdd51f1cea0eab36c8b76a12	0	0	0	0	0	0	3	0	0	0	0	0
715a5706f5ea5356f6c4772dc98d6430	0	0	0	0	0	71	0	0	0	0	0	0
97d033725a3fcb0e6b0f9554365d4e0f	2	3	4	0	2	0	0	0	0	0	0	0
e5c0eecb2edc3211ea66379f84006834	0	0	0	0	0	7	0	0	0	0	0	0
25773d17c98ca4f1cbab85bb7a20ee07	0	0	0	0	0	0	0	0	0	0	0	0
1485707115ce4b362d3e7c8944c55a4f	30	0	0	10	0	0	7	0	8	0	0	0
b0393e75df8338f8224463cb1b34efbd	0	7	0	0	4	0	0	0	0	0	0	0
940c5c7f5d291961c87dd25da8580e29	3870	4755	2377	2685	6716	4692	3393	873	1456	888	1859	1544
63b80d3eb582afab83fbeac4b9e71b43	346	423	203	277	502	384	141	69	129	90	175	138
30fa65ea00595da890dad94494a04490	0	0	0	67	0	67	146	0	0	0	44	0
da47a7f676f9a37da03e64a99251fd78	5055	5695	2754	3549	1827	2021	2351	6740	5153	6737	9393	6592
b43299b6f19a4e0e97c61584bf5596a7	0	0	0	0	0	0	0	0	0	0	0	0
59af3ddca2ed0cf3d3a10a052cac72f1	0	0	0	0	0	0	0	0	0	0	0	0
a4af9680e23cdd53cf88e4533a27594d	3	0	0	8	0	0	0	0	5	0	7	4
557cdafb4838e314885ddb4c7a177d13	0	0	0	0	0	0	0	0	0	0	0	0
45b76e49b6500d8d245c2f27f6fbb143	0	0	0	6	0	0	0	10	0	4	0	0
6116fd7dc95407952dfa6a8cad835556	0	0	0	0	0	0	9	0	0	0	0	7
92d04a8bfcbe9ddcc1bda03897b95251	0	0	0	0	0	0	0	0	0	0	0	0
975d5aabbcbb53d18b84ee9a8024fcd8	105	105	75	61	98	85	416	127	61	25	20	21
95d6a2a0e7a344010b5fd670677848e1	0	0	0	0	0	0	0	0	0	0	0	0
06538b77450f85903962437f449fa60a	108	96	79	107	44	62	132	105	64	26	23	0
727992952afbbf55406b97e29855c9c2	113	112	106	78	142	121	138	98	119	50	148	94
5bbc37962b69b4f2cf25bbad864f8406	0	0	0	0	0	0	12	8	0	0	0	0
90341c9ce791289cc32e350b44807ffb	10	0	12	10	25	9	26	17	0	10	0	9
af55dfcf7516e6d1d45fa6f16ebc1ca3	49	66	30	55	29	32	47	43	54	26	44	25
af5b96431f030adbd446db31ed2256c0	0	0	0	0	0	0	0	0	0	0	0	0
55b60296bc5a7532030150d24d7c2c61	0	0	0	0	0	14	23	10	0	0	8	0
f0a3b85336766433b385b8e5d23182d2	249	205	241	169	230	224	613	218	127	100	71	57
b0fff0788c980929fc4bf71e985f57f0	0	0	0	0	0	11	0	0	4	2	0	3
dc6ae08657c6ddc998f5ae806ab8934f	0	0	0	0	0	0	0	0	18	0	0	0
b18037a224663cf99b188ff37ab195d4	26	28	36	38	28	69	81	45	37	16	36	29
747afedfeb4b7c0cba3c0cb606c6afc6	0	0	0	0	0	0	0	0	0	0	0	0
ed00fb3691748ed4cae9230b19be54c8	0	0	0	0	0	0	20	17	37	0	0	0
06127cc96b470ea5c6a92494240202ff	7	0	4	0	0	7	0	5	58	21	53	19
383effd264b8c9db0f78e2067355d32e	0	0	0	0	0	0	0	0	0	0	0	0
da1ffc7cfb857dfdbeecfe7b8eb2efef	0	0	0	0	0	0	0	6	0	0	0	0
0775a8e56bc8da8ef0f0129616be163e	0	0	0	0	0	0	0	0	0	0	0	0
9fc9295b222377c7bdb7e4e4db1e5e78	0	0	0	0	0	0	0	0	0	0	0	0
ec9562edcf3986f9a56ee377d8ff737c	0	0	0	0	0	0	0	0	0	0	0	0
9580136cc3b703e45cdb2c1fc099598d	0	0	0	0	0	0	0	0	0	0	0	0
a9b24370bdb02a8ee91855de7b8b2813	3410	4037	1519	1813	927	986	826	586	1233	742	1695	1984
1368aca6d12ec4a9bbf16a2ff67104e1	0	0	0	0	0	0	0	0	0	0	0	0
f737f14e10779f3080a792044af733af	0	0	0	0	0	0	0	0	0	0	0	0
b664aba9c5e0e5cc58a311f8ff3d8b0c	23	8	34	13	15	14	22	14	29	13	4	13
11401ee29264e6f60b65371a2601cd07	0	8	5	0	6	7	0	7	10	20	22	5
208a08b90e13b04d2ef2f584535a2d39	25	24	11	3	15	10	16	3	35	21	20	31
fcd3426019893abe8788eea702b5916a	0	0	0	0	0	0	0	0	0	0	0	0
764e61dbb4db4acb21e18439aaa4b323	0	0	0	0	0	0	0	0	0	0	0	0
0612d61c62f82d56a84f7c4c2900f416	0	0	0	0	0	0	0	0	0	0	0	0
7b28c20e72c6c95b3e604f0849245770	9	6	0	9	2	8	352	53	26	13	12	8
1dacfff5549a7d2494f6a935ea1fb7e8	311	114	163	228	1193	759	509	540	149	159	302	175
39bb8bfbc4b219fcaa13499fc4bd4bab	0	0	0	0	0	0	0	0	0	0	0	0
92da3aeb57223540532b125809324895	0	0	0	0	0	0	0	0	0	0	0	0
0ffb814cca88340920e951ccac3e8c5c	0	0	0	0	0	0	0	0	0	0	0	0
2c545231aacaf1d8c6b3f8f8930d4363	39	38	55	15	49	112	28	40	27	11	10	16
a7b2ebeb585c5a9437a670f13d3234db	895	641	981	512	82	68	137	137	179	46	42	51
889876008cc11059ae62f03a56db6cba	0	0	0	0	0	0	0	0	0	0	0	0
dd2a393c2175bc6d2e4979918389e852	0	0	0	0	0	0	0	0	0	0	0	0
8da062ed6288544be0db04d6e164c45d	0	0	0	0	0	0	0	0	0	0	0	0
a046edb519c4e3cbdf77ada497c4d743	0	0	0	0	0	0	0	0	0	0	0	0
e7bb9262d4a46496167a210fc459688d	0	0	0	0	0	0	0	0	0	0	0	0
6c0cc1ad9f7dd31352af693c9c95c116	0	0	0	0	0	0	0	0	0	0	0	0
69a11f927915e2a3ba1f7b9c84486527	0	0	0	0	4	0	0	10	0	0	0	0
7421a0056850e30172e2c541c9215c11	11	9	18	16	17	15	24	37	45	9	18	13
cd3526e9ddf608ed31c4f3d648ca8034	39	24	24	14	19	20	12	10	13	5	14	12
9a3f0c720e5d749e66eb76f1a7ff2f89	0	0	0	0	0	0	0	0	0	0	0	0
d077c0ff711eabf2c3591a6f9798adb5	0	0	0	0	0	0	0	0	0	0	0	0
c895fbcdb8fe3bbfcf86721aa999a031	0	0	0	0	0	0	0	0	0	0	0	0
37e59730a004daa7d3b413192cf02048	0	0	0	0	0	0	0	0	0	0	0	0
87726005247b2b6f730616f96d3fe70b	0	0	0	0	0	0	0	0	0	0	0	0
427e008c37c7a6ad2979bf97f0d7d529	0	0	0	0	0	0	0	0	0	0	0	0
ac27c2394fe444c330c47ffc7f002bfc	0	0	0	0	0	0	0	0	0	0	0	0
128e0c5f455b2f411f04978f0dfb702a	0	0	0	0	0	0	0	0	0	0	0	0
d46e2205f0c6ecf67b51f83d111c509c	0	0	0	0	0	0	7	0	0	0	0	0
6d44145ac74fc30f6713c8ab71a27c96	0	0	0	0	0	0	0	0	0	0	0	0
2d4811114193cb62960ac3c96ed12bdf	0	0	0	0	0	0	0	0	0	0	0	0
ce6043d69addefcdeec6ef5f6c4a7b98	0	0	0	0	0	0	0	0	0	0	0	0
99a9bc6def382094f0af3317ab72fc1c	0	0	0	0	0	0	0	0	0	0	0	0
c3035bda9988b780172e8012a16711df	0	0	0	0	0	0	0	0	0	0	0	0
12c4cf4a9b6a4541ef111f02191bae96	0	0	0	0	0	0	0	0	0	0	0	0
2e9a5906b0e6f1f609d6b9b060c0d552	0	0	0	0	0	0	0	0	0	0	0	0
63fdceb9ee09d196bf44e3b9ddf129e9	0	0	0	0	0	0	0	0	0	0	0	0
29b791ad6c082e063699dfc690a19242	0	0	0	0	0	0	0	0	0	0	0	0
cfec01a68392e651dce79f71571dbcd8	0	0	0	0	0	0	0	0	0	0	0	0
60c303537d7d248f56c5a09caab1770f	0	0	0	0	0	0	0	0	0	0	0	0
043a0901316d72cb1703aa6f738a9233	0	0	0	0	0	0	0	0	0	0	0	0
6c14e4bc6dbb512edc411b4f97e4e9a7	0	0	0	0	0	0	0	0	0	0	0	0
a440c2ddf8b18e022be008cb0e05b574	0	0	0	0	0	0	0	0	0	0	0	0
c42b6ead1baf4f21bb1543af5ad4ffb2	0	0	0	0	0	0	0	0	0	0	0	0
c7320383c4e29d9ae052c6c2da25a89c	0	0	0	0	0	0	0	0	0	0	0	0
9faa90542b330fa9e0c926e24267ec99	0	0	2	0	5	0	0	0	4	0	0	0
706f52b6316d2af530385a23dbc345cf	0	0	0	0	0	0	0	0	0	0	0	0
e06e73c0550bfd3f63b73915855c10b6	6	6	10	0	0	0	4	0	0	0	0	0
ff2be076cf928bdf0eb0935b49878911	0	0	0	0	7	0	0	0	0	0	0	0
95fdd816723ca482a5caba10bea171c8	752	786	865	207	419	1729	276	1002	258	210	127	158
f434bb1f62e53ad7aed6f6ffd2ec039c	0	0	0	0	0	0	0	0	0	0	0	0
2f8ad4365632e4a05d8897ac4ee70b3a	0	0	0	0	0	33	0	0	0	0	56	55
2ef1e51ab1cf99a3c6417b05a060830e	474	187	243	171	213	161	194	87	147	208	213	251
dd32c3610b76a3591b97377a5829c947	0	0	0	0	32	40	0	0	0	52	60	45
0df6c802966e8670279671824da4f10a	4068	1780	4755	3794	6681	1233	2880	1079	1529	2508	2766	2748
6f1cbae792de3e1162d3d7dffbe4bb20	0	0	0	0	0	48	43	8	16	0	0	0
8871e9e05450b91fd3c712a6182dc017	0	0	0	0	0	0	0	0	0	0	0	0
3069dcbaf1716332e394e2b09ec8d459	0	0	0	0	0	0	0	0	0	0	0	0
6f7235a09de4606a1f0729263e905463	0	0	0	0	0	0	0	0	0	0	0	0
62aed129ef47cdb0866bddc5afd8ab4a	0	0	0	0	0	0	0	0	0	0	0	0
e24c503891e8ce10588113c3dfce9c2f	0	0	0	0	0	0	0	0	0	0	0	0
47817d7fe7b63f6f790deb76307bd30c	0	0	0	0	0	0	0	0	0	0	0	0
9575740425ce7248ee69ee6cf67517c6	0	0	0	0	0	0	0	0	0	0	0	0
b65dc53ce17411418917284c11fceabf	0	0	0	0	0	0	0	0	0	0	0	0
9f04d4582c00cc1372a4a536aaa64d65	0	0	0	0	0	0	0	0	0	0	0	0
922d33a2963d3e87a3d4df6b82371235	0	0	0	0	0	0	4	0	0	0	0	0
df0e3d38eec730326754d8c17a8b8efe	182	88	272	215	152	84	86	67	485	331	312	533
1fd294eea9485182ef6ac20c65e5a949	0	0	0	0	0	0	0	0	0	0	81	54
4cc1bff6843e62a70038bc31c88f932f	0	0	0	0	0	0	0	0	0	0	0	0
2ca424adcfa031e3bd222a727cd1421b	0	0	0	0	0	0	0	0	0	0	0	0
0633debdc6e91e0bb3eaa7657eff93eb	0	0	0	0	0	0	0	0	0	0	0	0
f1b8797a292a25eb72f6280b3ff7d132	0	0	0	0	0	0	0	0	0	0	0	0
7d8a67d9a7ae541304d69c0080342a68	7	3	10	0	0	0	11	0	0	4	0	8
f1b5d72cafaaea7b61c531cb90452d9c	41	61	65	45	37	21	47	53	61	19	30	34
ee84f17a4e398c4af09778df0c309c86	0	0	0	0	11	0	0	0	0	0	0	15
0c05681876f592d86aeafdde2a2703bf	0	0	0	0	0	0	0	0	0	0	0	0
a828d86ae6b1ae29eea5092499bc99df	16	11	27	14	15	35	19	11	20	12	10	17
77f352b310dc941a969edf6536c2e820	0	0	8	7	10	6	0	2	7	4	0	7
fb53e90170e07b153255c4bc54a8babb	3	0	0	0	0	0	0	0	0	0	0	0
62dc76a09326c359be5946507e82e9fa	0	0	0	0	4	4	5	0	0	0	0	3
b2224d09fb56fffb7949a37935a5b572	0	0	0	0	0	0	0	0	0	0	0	0
3abae39e94cf51920aec2b9fb42b53a9	46	48	55	44	38	49	61	52	46	38	44	39
8212cb5c87ef6191f7ddd1eb8f3dca99	0	0	0	0	0	0	0	0	0	0	0	0
da02ace480dfd68c5ab89aedff640035	0	0	0	0	0	0	0	0	0	0	0	0
d23bbe506e4ded19e9dd017b65275bab	0	0	5	0	0	0	0	0	0	0	0	0
c6f4aa25b9a6b316e50c3f0308c05ab9	0	3	0	0	0	0	2	0	0	0	0	0
d01b45323548adfff0b9207e39472ade	4	0	8	0	0	0	0	0	0	0	0	0
78bde97a6e8f259342747f2d608611b2	0	0	0	0	0	3	0	0	0	0	0	0
a2cafeeff0065516ce0706c7aea99297	0	0	0	0	0	0	0	0	0	0	0	0
a9fa77fde69f69499b9e8a7567be8836	0	0	0	0	0	0	0	0	0	0	0	0
f77a4cf04f5adf93dc5755b529482012	0	0	0	0	0	0	0	0	0	0	0	13
ec30afcaa4c767538eb33d63f35aaf38	19	29	22	15	0	12	12	12	9	11	0	0
3e9e6197d0866ceeaa0d19f676601a4a	0	0	0	30	0	0	0	0	0	0	0	0
d5f4e724b7fd8b007ef230dbd43c7a3c	0	25	0	0	0	0	0	0	0	0	0	0
128663d8fbf501fb5f4812f214e4f1bc	0	0	0	0	0	0	0	0	6	0	0	0
a6b8bcc8499b4128678a3a671a0bd004	0	0	0	0	0	0	0	0	0	0	0	0
0286fa7c3a01b5a335fce7363917ad16	0	0	0	17	0	0	0	0	0	0	0	0
0fde62806e4413be1846e836dba2c786	0	10	0	13	0	0	0	11	5	0	11	9
4e786fad777a61be21d3289ba56c326e	0	0	19	0	0	0	0	0	0	0	0	0
